au_1_left,au_1_right,au_2_left,au_2_right,au_4_left,au_4_right,au_5,au_6,au_7,au_10,au_12_left,au_12_right,au_25,au_26,au_45_left,au_45_right,frame,name, sadness, neutral, contempt, disgust, anger, surprise, fear, happiness
0.0856615,0.0856615,0.226903,0.226903,0.219931,0.219931,0.104188,0.0674333,0.595046,0.0674333,0.453805,0.453805,0.109369,0.386372,0,0,48,frame.00048.jpg,0.002209228,0.869417,0.013887149,0.000264587,0.001077367,0.005724834,0.000138918,0.107280932
0.1,0.1,0.35,0.35,0.2,0.2,0.15,0.1,0.95,0.1,0.7,0.7,0,0.6,0,0,49,frame.00049.jpg,0.001893921,0.820533335,0.010323328,0.000188219,0.000665285,0.003330141,4.67E-05,0.163019136
0.1,0.1,0.35,0.35,0.2,0.2,0.15,0.1,0.95,0.1,0.7,0.7,0,0.6,0,0,50,frame.00050.jpg,0.001893921,0.820533335,0.010323328,0.000188219,0.000665285,0.003330141,4.67E-05,0.163019136
0.1,0.1,0.35,0.35,0.2,0.2,0.15,0.1,0.95,0.1,0.7,0.7,0,0.6,0,0,51,frame.00051.jpg,0.001893921,0.820533335,0.010323328,0.000188219,0.000665285,0.003330141,4.67E-05,0.163019136
0.1,0.1,0.35,0.35,0.2,0.2,0.15,0.1,0.95,0.1,0.7,0.7,0,0.6,0,0,52,frame.00052.jpg,0.001893921,0.820533335,0.010323328,0.000188219,0.000665285,0.003330141,4.67E-05,0.163019136
0.7,0.7,0.9,0.9,0.95,0.95,0,0,0.05,0.05,0.4,0.4,0,0.8,0.05,0.05,53,frame.00053.jpg,0.020530125,0.74714154,0.015879482,0.001341445,0.002934178,0.158957928,0.010990965,0.042224348
0.7,0.7,0.9,0.9,0.95,0.95,0,0,0.05,0.05,0.4,0.4,0,0.8,0.05,0.05,54,frame.00054.jpg,0.020860037,0.7477448,0.015953302,0.001354213,0.00296859,0.158403948,0.011097917,0.04161721
0.512171,0.512171,0.743476,0.743476,0.543038,0.543038,0.0626096,0,0.05,0.0813048,0.431305,0.431305,0.626096,0.549562,0.0813048,0.0813048,55,frame.00055.jpg,0.010875187,0.8110116,0.012875829,0.000522964,0.00123222,0.03252207,0.001160959,0.129799172
0.4,0.4,0.65,0.65,0.3,0.3,0.1,0,0.05,0.1,0.45,0.45,1,0.4,0.1,0.1,56,frame.00056.jpg,0.00331118,0.671220958,0.009634958,0.000346629,0.001226724,0.1972877,0.002117624,0.114854217
0.4,0.4,0.65,0.65,0.3,0.3,0.1,0,0.05,0.1,0.45,0.45,1,0.4,0.1,0.1,57,frame.00057.jpg,0.00331118,0.671220958,0.009634958,0.000346629,0.001226724,0.1972877,0.002117624,0.114854217
