au_1_left, au_1_right, au_2_left, au_2_right, au_4_left, au_4_right, au_5, au_6, au_7, au_10, au_12_left, au_12_right, au_25, au_26, au_45_left, au_45_rightframe,,name, sadness, neutral, contempt, disgust, anger, surprise, fear, happiness
0.4,0.4,0.25,0.25,0.35,0.35,0.85,0,0.9,0,0.05,0.05,0.1,0.95,0.95,0.95,40,frame.00040.jpg,0.007240852,0.820403,0.014792003,0.000612104,0.000860801,0.001448666,7.70E-05,0.154565588
0.325482,0.325482,0.203426,0.203426,0.284797,0.284797,0.69165,0,0.732335,0,0.0406853,0.0406853,0.0813705,0.77302,0.77302,0.77302,41,frame.00041.jpg,0.005907557,0.8301781,0.012898123,0.000633887,0.001501822,0.003727793,0.000148329,0.145004436
0.317417,0.317417,0.0453453,0.0453453,0.362763,0.362763,0.906906,0.0453453,0.906906,0.0906906,0.408108,0.408108,0.136036,0.498798,0.0906906,0.0906906,42,frame.00042.jpg,0.007811127,0.8133007,0.018414898,0.000594293,0.001384419,0.001343863,7.76E-05,0.157073036
0.35,0.35,0.05,0.05,0.4,0.4,1,0.05,1,0.1,0.45,0.45,0.15,0.55,0.1,0.1,43,frame.00043.jpg,0.004415354,0.8040011,0.015504578,0.000459774,0.001220758,0.001398208,7.45E-05,0.17292574
0.35,0.35,0.05,0.05,0.4,0.4,1,0.05,1,0.1,0.45,0.45,0.15,0.55,0.1,0.1,44,frame.00044.jpg,0.004415354,0.8040011,0.015504578,0.000459774,0.001220758,0.001398208,7.45E-05,0.17292574
0.35,0.35,0.05,0.05,0.4,0.4,1,0.05,1,0.1,0.45,0.45,0.15,0.55,0.1,0.1,45,frame.00045.jpg,0.004415354,0.8040011,0.015504578,0.000459774,0.001220758,0.001398208,7.45E-05,0.17292574
0.322866,0.322866,0.0461238,0.0461238,0.36899,0.36899,0.922475,0.0461238,0.922475,0.0922475,0.415114,0.415114,0.138371,0.507361,0.0922475,0.0922475,46,frame.00046.jpg,0.002450316,0.8400786,0.011187163,0.000142391,0.000522475,0.000558714,1.91E-05,0.145041242
0.18721,0.18721,0.0267443,0.0267443,0.213954,0.213954,0.534886,0.0267443,0.534886,0.0534886,0.240699,0.240699,0.0802329,0.294187,0.0534886,0.0534886,47,frame.00047.jpg,0.001055127,0.847082138,0.007397815,4.98E-05,0.000258925,0.001625979,2.78E-05,0.142502472
0.531237,0.531237,0.281243,0.281243,0,0,0.0937476,0,0.562486,0.0624984,0.499987,0.499987,0.0312492,0.40624,0.0312492,0.0312492,48,frame.00048.jpg,0.001591002,0.723109663,0.007218212,0.000106607,0.000367254,0.002195264,6.42E-05,0.265347779
0.812075,0.812075,0.429922,0.429922,0,0,0.143307,0,0.859844,0.0955382,0.764306,0.764306,0.0477691,0.620998,0.0477691,0.0477691,49,frame.00049.jpg,0.003240658,0.812539,0.006693842,7.59E-05,0.000275999,0.000555883,3.02E-05,0.17658855
0.85,0.85,0.45,0.45,0,0,0.15,0,0.9,0.1,0.8,0.8,0.05,0.65,0.05,0.05,50,frame.00050.jpg,0.009389094,0.706885,0.011444712,0.000350544,0.000797318,0.001623131,0.00010228,0.269407958
0.85,0.85,0.45,0.45,0,0,0.15,0,0.9,0.1,0.8,0.8,0.05,0.65,0.05,0.05,51,frame.00051.jpg,0.009389094,0.706885,0.011444712,0.000350544,0.000797318,0.001623131,0.00010228,0.269407958
0.85,0.85,0.45,0.45,0,0,0.15,0,0.9,0.1,0.8,0.8,0.05,0.65,0.05,0.05,52,frame.00052.jpg,0.009389094,0.706885,0.011444712,0.000350544,0.000797318,0.001623131,0.00010228,0.269407958
0.85,0.85,0.45,0.45,0,0,0.15,0,0.9,0.1,0.8,0.8,0.05,0.65,0.05,0.05,53,frame.00053.jpg,0.009389094,0.706885,0.011444712,0.000350544,0.000797318,0.001623131,0.00010228,0.269407958
0.85,0.85,0.45,0.45,0,0,0.15,0,0.9,0.1,0.8,0.8,0.05,0.65,0.05,0.05,54,frame.00054.jpg,0.009389094,0.706885,0.011444712,0.000350544,0.000797318,0.001623131,0.00010228,0.269407958
0.601452,0.601452,0.381231,0.381231,0.0740099,0.0740099,0.134126,0.0105728,0.614442,0.279728,0.69419,0.69419,0.0447085,0.591783,0.0447085,0.0447085,55,frame.00055.jpg,0.003434764,0.9043325,0.006844675,0.000128256,0.000596927,0.000989208,4.86E-05,0.08362508
0.134042,0.134042,0.31177,0.31177,0.283722,0.283722,0.130944,0.0405317,0.0560946,0.816868,0.617306,0.617306,0.0436481,0.607957,0.0436481,0.0436481,56,frame.00056.jpg,0.004386429,0.8517726,0.01453551,0.000664939,0.002632356,0.0788311,0.001178377,0.0459987
0.0998722,0.0998722,0.349553,0.349553,0.349553,0.349553,0.149808,0.0499361,0,0.998722,0.699106,0.699106,0.0499361,0.699106,0.0499361,0.0499361,57,frame.00057.jpg,0.002004375,0.8318724,0.01060123,0.00041723,0.001581993,0.101808257,0.000546008,0.05116849
0.1,0.1,0.35,0.35,0.35,0.35,0.15,0.05,0,1,0.7,0.7,0.05,0.7,0.05,0.05,58,frame.00058.jpg,0.003560976,0.717264354,0.012898667,0.001000785,0.003331442,0.200384572,0.00263088,0.058928296
0.1,0.1,0.35,0.35,0.35,0.35,0.15,0.05,0,1,0.7,0.7,0.05,0.7,0.05,0.05,59,frame.00059.jpg,0.003560976,0.717264354,0.012898667,0.001000785,0.003331442,0.200384572,0.00263088,0.058928296
0.1,0.1,0.35,0.35,0.35,0.35,0.15,0.05,0,1,0.7,0.7,0.05,0.7,0.05,0.05,60,frame.00060.jpg,0.003560976,0.717264354,0.012898667,0.001000785,0.003331442,0.200384572,0.00263088,0.058928296
0.1,0.1,0.35,0.35,0.35,0.35,0.15,0.05,0,1,0.7,0.7,0.05,0.7,0.05,0.05,61,frame.00061.jpg,0.003560976,0.717264354,0.012898667,0.001000785,0.003331442,0.200384572,0.00263088,0.058928296
0.0979678,0.0979678,0.342887,0.342887,0.342887,0.342887,0.146952,0.0489839,0,0.979678,0.685775,0.685775,0.0489839,0.685775,0.0489839,0.0489839,62,frame.00062.jpg,0.005715166,0.737594545,0.018638998,0.001101702,0.005415445,0.201103255,0.003639702,0.026791183
0.228486,0.228486,0.416469,0.416469,0.525964,0.525964,0.0872413,0.0777447,0,0.514695,0.686946,0.686946,0.36973,0.340213,0.0412465,0.0412465,63,frame.00063.jpg,0.007546777,0.8698519,0.019872777,0.000879129,0.002839609,0.0461336,0.000853065,0.052023124
0.424098,0.424098,0.598363,0.598363,0.8515,0.8515,0.045494,0.12767,0,0.148599,0.859211,0.859211,0.802702,0.0576105,0.043291,0.043291,64,frame.00064.jpg,0.024609566,0.7542127,0.023608064,0.001401417,0.003435646,0.121394813,0.009183951,0.062153842
0.5,0.5,0.7,0.7,1,1,0.05,0.15,0,0.15,1,1,0.95,0.05,0.05,0.05,65,frame.00065.jpg,0.023761082,0.7849661,0.041812066,0.002265968,0.006286766,0.050967384,0.005089212,0.08485144
0.5,0.5,0.7,0.7,1,1,0.05,0.15,0,0.15,1,1,0.95,0.05,0.05,0.05,66,frame.00066.jpg,0.023761082,0.7849661,0.041812066,0.002265968,0.006286766,0.050967384,0.005089212,0.08485144
0.5,0.5,0.7,0.7,1,1,0.05,0.15,0,0.15,1,1,0.95,0.05,0.05,0.05,67,frame.00067.jpg,0.023761082,0.7849661,0.041812066,0.002265968,0.006286766,0.050967384,0.005089212,0.08485144
0.5,0.5,0.7,0.7,1,1,0.05,0.15,0,0.15,1,1,0.95,0.05,0.05,0.05,68,frame.00068.jpg,0.023761082,0.7849661,0.041812066,0.002265968,0.006286766,0.050967384,0.005089212,0.08485144
0.5,0.5,0.7,0.7,1,1,0.05,0.15,0,0.15,1,1,0.95,0.05,0.05,0.05,69,frame.00069.jpg,0.023761082,0.7849661,0.041812066,0.002265968,0.006286766,0.050967384,0.005089212,0.08485144
0.499724,0.499724,0.699614,0.699614,0.999448,0.999448,0.0499724,0.149917,0,0.149917,0.999448,0.999448,0.949476,0.0499724,0.0499724,0.0499724,70,frame.00070.jpg,0.014624977,0.8306037,0.02791733,0.00128421,0.003614764,0.032321233,0.001829222,0.087804526
0.426016,0.426016,0.498985,0.498985,0.826391,0.826391,0.0567043,0.0931891,0.230772,0.10601,0.800749,0.800749,0.590197,0.120808,0.0567043,0.0567043,71,frame.00071.jpg,0.026707903,0.7549442,0.044056527,0.001238948,0.002898047,0.005483428,0.000571945,0.164098978
0.392671,0.392671,0.245666,0.245666,0.705322,0.705322,0.0832775,0.00977543,0.720172,0.049785,0.625303,0.625303,0.0619111,0.283325,0.0832775,0.0832775,72,frame.00072.jpg,0.014107076,0.9015269,0.018879134,0.000316219,0.001741351,0.00047297,4.27E-05,0.06291365
0.447938,0.447938,0.248854,0.248854,0.796333,0.796333,0.0995417,0,0.895875,0.0497708,0.696792,0.696792,0,0.348396,0.0995417,0.0995417,73,frame.00073.jpg,0.008929106,0.7600421,0.02335368,0.001096825,0.002915305,0.002729656,0.000172634,0.200760692
0.45,0.45,0.25,0.25,0.8,0.8,0.1,0,0.9,0.05,0.7,0.7,0,0.35,0.1,0.1,74,frame.00074.jpg,0.00761517,0.7310873,0.022385579,0.000609507,0.001339158,0.002734839,0.000109329,0.234119117
0.45,0.45,0.25,0.25,0.8,0.8,0.1,0,0.9,0.05,0.7,0.7,0,0.35,0.1,0.1,75,frame.00075.jpg,0.00761517,0.7310873,0.022385579,0.000609507,0.001339158,0.002734839,0.000109329,0.234119117
0.430311,0.430311,0.239062,0.239062,0.764998,0.764998,0.0956247,0,0.860622,0.0478124,0.669373,0.669373,0,0.334686,0.0956247,0.0956247,76,frame.00076.jpg,0.026324209,0.7894446,0.028466975,0.002519506,0.005895387,0.00482322,0.00070795,0.1418181
0.722871,0.722871,0.364294,0.364294,0.460747,0.460747,0.0114331,0,0.203611,0.0392876,0.147174,0.147174,0.570709,0.644296,0.649284,0.649284,77,frame.00077.jpg,0.06013064,0.869131744,0.016827514,0.001106543,0.002576582,0.001195251,0.00029806,0.04873365
1,1,0.5,0.5,0.55,0.55,0,0,0.15,0.05,0.1,0.1,0.85,0.9,0.95,0.95,78,frame.00078.jpg,0.207921341,0.7418031,0.014759706,0.002286709,0.002960342,0.001258346,0.000666706,0.028343732
1,1,0.5,0.5,0.55,0.55,0,0,0.15,0.05,0.1,0.1,0.85,0.9,0.95,0.95,79,frame.00079.jpg,0.207921341,0.7418031,0.014759706,0.002286709,0.002960342,0.001258346,0.000666706,0.028343732
1,1,0.5,0.5,0.55,0.55,0,0,0.15,0.05,0.1,0.1,0.85,0.9,0.95,0.95,80,frame.00080.jpg,0.207921341,0.7418031,0.014759706,0.002286709,0.002960342,0.001258346,0.000666706,0.028343732
0.706293,0.706293,0.571723,0.571723,0.543286,0.543286,0.0182147,0,0.133266,0.0808514,0.325635,0.325635,0.809818,0.781381,0.844018,0.844018,81,frame.00081.jpg,0.072535045,0.8719098,0.016058024,0.002274766,0.006413474,0.002160987,0.00053496,0.028112944
0.473325,0.473325,0.737399,0.737399,0.615017,0.615017,0.041728,0,0.133591,0.127986,0.631525,0.631525,0.882199,0.759817,0.846075,0.846075,82,frame.00082.jpg,0.013061746,0.84428376,0.013632443,0.001310186,0.001998327,0.004429763,0.00026276,0.121021017
0.499873,0.499873,0.849784,0.849784,0.699822,0.699822,0.0499873,0,0.149962,0.149962,0.74981,0.74981,0.999746,0.849784,0.949759,0.949759,83,frame.00083.jpg,0.025229616,0.8920181,0.013533023,0.001497828,0.002891016,0.003706015,0.000351406,0.060773026
0.5,0.5,0.85,0.85,0.7,0.7,0.05,0,0.15,0.15,0.75,0.75,1,0.85,0.95,0.95,84,frame.00084.jpg,0.024338782,0.9030028,0.017922638,0.001665709,0.004904405,0.002584087,0.000339733,0.04524184
0.5,0.5,0.85,0.85,0.7,0.7,0.05,0,0.15,0.15,0.75,0.75,1,0.85,0.95,0.95,85,frame.00085.jpg,0.024338782,0.9030028,0.017922638,0.001665709,0.004904405,0.002584087,0.000339733,0.04524184
0.5,0.5,0.85,0.85,0.7,0.7,0.05,0,0.15,0.15,0.75,0.75,1,0.85,0.95,0.95,86,frame.00086.jpg,0.024338782,0.9030028,0.017922638,0.001665709,0.004904405,0.002584087,0.000339733,0.04524184
0.5,0.5,0.85,0.85,0.7,0.7,0.05,0,0.15,0.15,0.75,0.75,1,0.85,0.95,0.95,87,frame.00087.jpg,0.024338782,0.9030028,0.017922638,0.001665709,0.004904405,0.002584087,0.000339733,0.04524184
0.495273,0.495273,0.841964,0.841964,0.693382,0.693382,0.0495273,0,0.148582,0.148582,0.74291,0.74291,0.990546,0.841964,0.941019,0.941019,88,frame.00088.jpg,0.014911622,0.904496,0.013858102,0.001519276,0.004339947,0.002143722,0.000288353,0.05844297
0.553049,0.553049,0.727494,0.727494,0.390593,0.390593,0.397277,0.0417039,0.462013,0.420309,0.475091,0.475091,0.459688,0.414714,0.47945,0.47945,89,frame.00089.jpg,0.01468782,0.8443033,0.023065792,0.00113535,0.00273215,0.001558045,0.000170776,0.112346768
0.70213,0.70213,0.755846,0.755846,0.19327,0.19327,0.774087,0.0858383,0.82009,0.734252,0.32357,0.32357,0.0737668,0.112059,0.158063,0.158063,90,frame.00090.jpg,0.005822893,0.930281,0.009413967,8.02E-05,0.000548219,0.000503363,2.74E-05,0.053322975
0.8,0.8,0.85,0.85,0.2,0.2,0.9,0.1,0.95,0.85,0.35,0.35,0.05,0.1,0.15,0.15,91,frame.00091.jpg,0.024449244,0.9342445,0.012498211,0.000413622,0.00214042,0.000896524,0.00010771,0.025249729
0.8,0.8,0.85,0.85,0.2,0.2,0.9,0.1,0.95,0.85,0.35,0.35,0.05,0.1,0.15,0.15,92,frame.00092.jpg,0.024449244,0.9342445,0.012498211,0.000413622,0.00214042,0.000896524,0.00010771,0.025249729
0.8,0.8,0.85,0.85,0.2,0.2,0.9,0.1,0.95,0.85,0.35,0.35,0.05,0.1,0.15,0.15,93,frame.00093.jpg,0.024449244,0.9342445,0.012498211,0.000413622,0.00214042,0.000896524,0.00010771,0.025249729
0.8,0.8,0.85,0.85,0.2,0.2,0.9,0.1,0.95,0.85,0.35,0.35,0.05,0.1,0.15,0.15,94,frame.00094.jpg,0.024449244,0.9342445,0.012498211,0.000413622,0.00214042,0.000896524,0.00010771,0.025249729
0.8,0.8,0.85,0.85,0.2,0.2,0.9,0.1,0.95,0.85,0.35,0.35,0.05,0.1,0.15,0.15,95,frame.00095.jpg,0.024449244,0.9342445,0.012498211,0.000413622,0.00214042,0.000896524,0.00010771,0.025249729
