au_1_left,au_1_right,au_2_left,au_2_right,au_4_left,au_4_right,au_5,au_6,au_7,au_10,au_12_left,au_12_right,au_25,au_26,au_45_left,au_45_right,frame,name, sadness, neutral, contempt, disgust, anger, surprise, fear, happiness
0.7,0.9,0.7,0.65,0.35,0.5,0.1,0.6,0.8,0.9,0.2,0.8,1,0.05,1,0.8,36,frame.00036.jpg,0.040348824,0.9119413,0.014809144,0.000157051,0.000517052,0.000167738,2.60E-05,0.032032933
0.7,0.9,0.7,0.65,0.35,0.5,0.1,0.6,0.8,0.9,0.2,0.8,1,0.05,1,0.8,37,frame.00037.jpg,0.040348824,0.9119413,0.014809144,0.000157051,0.000517052,0.000167738,2.60E-05,0.032032933
0.7,0.9,0.7,0.65,0.35,0.5,0.1,0.6,0.8,0.9,0.2,0.8,1,0.05,1,0.8,38,frame.00038.jpg,0.040348824,0.9119413,0.014809144,0.000157051,0.000517052,0.000167738,2.60E-05,0.032032933
0.7,0.9,0.7,0.65,0.35,0.5,0.1,0.6,0.8,0.9,0.2,0.8,1,0.05,1,0.8,39,frame.00039.jpg,0.040348824,0.9119413,0.014809144,0.000157051,0.000517052,0.000167738,2.60E-05,0.032032933
0.7,0.9,0.7,0.65,0.35,0.5,0.1,0.6,0.8,0.9,0.2,0.8,1,0.05,1,0.8,40,frame.00040.jpg,0.040348824,0.9119413,0.014809144,0.000157051,0.000517052,0.000167738,2.60E-05,0.032032933
0.364441,0.775764,0.364441,0.429948,0.453733,0.43098,0.238243,0.343408,0.580963,0.515112,0.215834,0.5158,0.666471,0.282029,0.775076,0.385474,41,frame.00041.jpg,0.060601205,0.883302331,0.02419677,0.000584795,0.001261061,0.000634243,0.000103977,0.029315645
0.146086,0.876514,0.146086,0.340867,0.681733,0.486952,0.438257,0.194781,0.535648,0.292171,0.292171,0.389562,0.535648,0.584343,0.779124,0.0973905,42,frame.00042.jpg,0.022529168,0.912397861,0.015082932,0.000513276,0.001387849,0.000596257,7.57E-05,0.047416963
0.15,0.9,0.15,0.35,0.7,0.5,0.45,0.2,0.55,0.3,0.3,0.4,0.55,0.6,0.8,0.1,43,frame.00043.jpg,0.033493582,0.891177654,0.023722278,0.000498357,0.001592334,0.000652257,0.000104548,0.048759002
0.15,0.9,0.15,0.35,0.7,0.5,0.45,0.2,0.55,0.3,0.3,0.4,0.55,0.6,0.8,0.1,44,frame.00044.jpg,0.033493582,0.891177654,0.023722278,0.000498357,0.001592334,0.000652257,0.000104548,0.048759002
0.15,0.9,0.15,0.35,0.7,0.5,0.45,0.2,0.55,0.3,0.3,0.4,0.55,0.6,0.8,0.1,45,frame.00045.jpg,0.033493582,0.891177654,0.023722278,0.000498357,0.001592334,0.000652257,0.000104548,0.048759002
0.149462,0.896774,0.149462,0.348745,0.697491,0.498208,0.448387,0.199283,0.548029,0.298925,0.298925,0.398566,0.548029,0.597849,0.797132,0.0996415,46,frame.00046.jpg,0.019199776,0.928327262,0.018592546,0.000707096,0.002655935,0.000659494,0.000102676,0.029755237
0.183741,0.564119,0.26252,0.393716,0.590482,0.498677,0.328014,0.367534,0.314832,0.183663,0.157403,0.223001,0.314832,0.485495,0.5773,0.144377,47,frame.00047.jpg,0.022944009,0.893217,0.021335485,0.000541945,0.001153932,0.001178019,0.000126216,0.059503377
0.399875,0.349891,0.699781,0.79975,0.849734,0.899719,0.349891,0.999687,0.0999687,0.0999687,0,0.0499844,0.0999687,0.649797,0.599812,0.349891,48,frame.00048.jpg,0.03391339,0.9059156,0.022822134,0.001531268,0.004705775,0.001768493,0.000266109,0.029077234
0.4,0.35,0.7,0.8,0.85,0.9,0.35,1,0.1,0.1,0,0.05,0.1,0.65,0.6,0.35,49,frame.00049.jpg,0.010980573,0.954966366,0.008805805,0.000497629,0.001468509,0.001780161,8.83E-05,0.02141267
0.4,0.35,0.7,0.8,0.85,0.9,0.35,1,0.1,0.1,0,0.05,0.1,0.65,0.6,0.35,50,frame.00050.jpg,0.010980573,0.954966366,0.008805805,0.000497629,0.001468509,0.001780161,8.83E-05,0.02141267
0.4,0.35,0.7,0.8,0.85,0.9,0.35,1,0.1,0.1,0,0.05,0.1,0.65,0.6,0.35,51,frame.00051.jpg,0.010980573,0.954966366,0.008805805,0.000497629,0.001468509,0.001780161,8.83E-05,0.02141267
0.4,0.35,0.7,0.8,0.85,0.9,0.35,1,0.1,0.1,0,0.05,0.1,0.65,0.6,0.35,52,frame.00052.jpg,0.010980573,0.954966366,0.008805805,0.000497629,0.001468509,0.001780161,8.83E-05,0.02141267
0.337558,0.302144,0.570387,0.668337,0.608832,0.712047,0.281804,0.830336,0.111509,0.172529,0.0474596,0.150674,0.0843896,0.473953,0.492778,0.349603,53,frame.00053.jpg,0.0289367,0.9141245,0.021282852,0.000844083,0.001906894,0.001667582,0.00019105,0.031046353
0.385092,0.385092,0.529501,0.722047,0.0481365,0.529501,0.240682,0.866457,0.288819,0.722047,0.336955,0.81832,0.096273,0.096273,0.481365,0.722047,54,frame.00054.jpg,0.006709184,0.954855,0.016520599,0.000132486,0.000362285,0.000337788,1.67E-05,0.021065941
0.4,0.4,0.55,0.75,0.05,0.55,0.25,0.9,0.3,0.75,0.35,0.85,0.1,0.1,0.5,0.75,55,frame.00055.jpg,0.00954874,0.938975155,0.020690683,0.000170652,0.000376532,0.000223788,1.41E-05,0.030000387
0.4,0.4,0.55,0.75,0.05,0.55,0.25,0.9,0.3,0.75,0.35,0.85,0.1,0.1,0.5,0.75,56,frame.00056.jpg,0.00954874,0.938975155,0.020690683,0.000170652,0.000376532,0.000223788,1.41E-05,0.030000387
0.4,0.4,0.55,0.75,0.05,0.55,0.25,0.9,0.3,0.75,0.35,0.85,0.1,0.1,0.5,0.75,57,frame.00057.jpg,0.00954874,0.938975155,0.020690683,0.000170652,0.000376532,0.000223788,1.41E-05,0.030000387
0.4,0.4,0.55,0.75,0.05,0.55,0.25,0.9,0.3,0.75,0.35,0.85,0.1,0.1,0.5,0.75,58,frame.00058.jpg,0.00954874,0.938975155,0.020690683,0.000170652,0.000376532,0.000223788,1.41E-05,0.030000387
0.478046,0.310715,0.316216,0.542367,0.194908,0.457803,0.305215,0.534996,0.410021,0.478009,0.437598,0.661879,0.196741,0.209613,0.520328,0.658212,59,frame.00059.jpg,0.004837116,0.9005255,0.020673337,0.000179894,0.000318522,0.000246187,1.03E-05,0.07320917
0.923215,0.323125,0.0461607,0.461607,0.600089,0.553929,0.600089,0.138482,0.877054,0.230804,0.877054,0.692411,0.507768,0.553929,0.877054,0.877054,60,frame.00060.jpg,0.017411238,0.864153445,0.02306997,0.000478211,0.001049546,0.000660368,5.68E-05,0.09312044
1,0.35,0.05,0.5,0.65,0.6,0.65,0.15,0.95,0.25,0.95,0.75,0.55,0.6,0.95,0.95,61,frame.00061.jpg,0.026791476,0.860705256,0.019735381,0.000451798,0.000761337,0.000438524,4.70E-05,0.09106917
1,0.35,0.05,0.5,0.65,0.6,0.65,0.15,0.95,0.25,0.95,0.75,0.55,0.6,0.95,0.95,62,frame.00062.jpg,0.026791476,0.860705256,0.019735381,0.000451798,0.000761337,0.000438524,4.70E-05,0.09106917
1,0.35,0.05,0.5,0.65,0.6,0.65,0.15,0.95,0.25,0.95,0.75,0.55,0.6,0.95,0.95,63,frame.00063.jpg,0.026791476,0.860705256,0.019735381,0.000451798,0.000761337,0.000438524,4.70E-05,0.09106917
1,0.35,0.05,0.5,0.65,0.6,0.65,0.15,0.95,0.25,0.95,0.75,0.55,0.6,0.95,0.95,64,frame.00064.jpg,0.026791476,0.860705256,0.019735381,0.000451798,0.000761337,0.000438524,4.70E-05,0.09106917
0.842401,0.347959,0.217101,0.389954,0.588181,0.652299,0.681921,0.21385,0.797156,0.335586,0.734663,0.569308,0.435199,0.449197,0.750286,0.67217,65,frame.00065.jpg,0.013231629,0.8381598,0.018593596,0.000368042,0.000629647,0.000538226,3.67E-05,0.128442347
0.736995,0.408464,0.532667,0.279959,0.594147,0.858329,0.859763,0.358458,0.691291,0.538404,0.514213,0.375668,0.325662,0.282827,0.558483,0.337136,66,frame.00066.jpg,0.013997797,0.8679304,0.037749637,0.000607259,0.00120018,0.000374488,3.34E-05,0.078106806
0.8,0.45,0.6,0.3,0.65,0.95,0.95,0.4,0.75,0.6,0.55,0.4,0.35,0.3,0.6,0.35,67,frame.00067.jpg,0.027172241,0.891972661,0.025492776,0.000765143,0.001995888,0.000890705,0.000103604,0.051606998
0.8,0.45,0.6,0.3,0.65,0.95,0.95,0.4,0.75,0.6,0.55,0.4,0.35,0.3,0.6,0.35,68,frame.00068.jpg,0.027172241,0.891972661,0.025492776,0.000765143,0.001995888,0.000890705,0.000103604,0.051606998
0.8,0.45,0.6,0.3,0.65,0.95,0.95,0.4,0.75,0.6,0.55,0.4,0.35,0.3,0.6,0.35,69,frame.00069.jpg,0.027172241,0.891972661,0.025492776,0.000765143,0.001995888,0.000890705,0.000103604,0.051606998
0.8,0.45,0.6,0.3,0.65,0.95,0.95,0.4,0.75,0.6,0.55,0.4,0.35,0.3,0.6,0.35,70,frame.00070.jpg,0.027172241,0.891972661,0.025492776,0.000765143,0.001995888,0.000890705,0.000103604,0.051606998
0.480369,0.65863,0.313195,0.470474,0.60609,0.354647,0.291872,0.30296,0.407187,0.470133,0.522503,0.397123,0.261166,0.501862,0.344583,0.575043,71,frame.00071.jpg,0.024398403,0.860952258,0.021559294,0.000696589,0.001603838,0.001349404,0.000134895,0.089305334
0.5,0.9,0.3,0.65,0.75,0.25,0.15,0.35,0.4,0.55,0.65,0.5,0.3,0.7,0.35,0.8,72,frame.00072.jpg,0.045122106,0.8829506,0.024404239,0.001031835,0.002605575,0.001108821,0.000213759,0.042563085
0.5,0.9,0.3,0.65,0.75,0.25,0.15,0.35,0.4,0.55,0.65,0.5,0.3,0.7,0.35,0.8,73,frame.00073.jpg,0.045122106,0.8829506,0.024404239,0.001031835,0.002605575,0.001108821,0.000213759,0.042563085
0.5,0.9,0.3,0.65,0.75,0.25,0.15,0.35,0.4,0.55,0.65,0.5,0.3,0.7,0.35,0.8,74,frame.00074.jpg,0.045122106,0.8829506,0.024404239,0.001031835,0.002605575,0.001108821,0.000213759,0.042563085
0.5,0.9,0.3,0.65,0.75,0.25,0.15,0.35,0.4,0.55,0.65,0.5,0.3,0.7,0.35,0.8,75,frame.00075.jpg,0.045122106,0.8829506,0.024404239,0.001031835,0.002605575,0.001108821,0.000213759,0.042563085
0.5,0.9,0.3,0.65,0.75,0.25,0.15,0.35,0.4,0.55,0.65,0.5,0.3,0.7,0.35,0.8,76,frame.00076.jpg,0.045122106,0.8829506,0.024404239,0.001031835,0.002605575,0.001108821,0.000213759,0.042563085
0.232166,0.651361,0.460311,0.316407,0.6505,0.439179,0.251,0.502288,0.377506,0.586816,0.462321,0.232166,0.522846,0.629368,0.564823,0.484027,77,frame.00077.jpg,0.060825206,0.889456868,0.016149893,0.001887306,0.00519581,0.002078749,0.000468005,0.023938185
0.0475635,0.618326,0.761016,0.095127,0.761016,0.761016,0.428072,0.80858,0.475635,0.80858,0.428072,0.0475635,0.903707,0.761016,0.95127,0.332945,78,frame.00078.jpg,0.019768668,0.9252718,0.019851815,0.002055008,0.00709804,0.001253732,0.00024894,0.024452008
0.05,0.65,0.8,0.1,0.8,0.8,0.45,0.85,0.5,0.85,0.45,0.05,0.95,0.8,1,0.35,79,frame.00079.jpg,0.008130208,0.9262605,0.01952066,0.001761277,0.005018879,0.001035665,0.000120928,0.038151898
0.05,0.65,0.8,0.1,0.8,0.8,0.45,0.85,0.5,0.85,0.45,0.05,0.95,0.8,1,0.35,80,frame.00080.jpg,0.008130208,0.9262605,0.01952066,0.001761277,0.005018879,0.001035665,0.000120928,0.038151898
0.05,0.65,0.8,0.1,0.8,0.8,0.45,0.85,0.5,0.85,0.45,0.05,0.95,0.8,1,0.35,81,frame.00081.jpg,0.008130208,0.9262605,0.01952066,0.001761277,0.005018879,0.001035665,0.000120928,0.038151898
0.0498857,0.648513,0.79817,0.0997713,0.79817,0.79817,0.448971,0.848056,0.498857,0.848056,0.448971,0.0498857,0.947827,0.79817,0.997713,0.3492,82,frame.00082.jpg,0.008017963,0.941756845,0.016163677,0.001399578,0.004282,0.000880037,9.12E-05,0.027408738
0.163867,0.457431,0.403158,0.38056,0.420767,0.702508,0.31262,0.390937,0.441269,0.655069,0.435881,0.251911,0.454538,0.614464,0.512752,0.231409,83,frame.00083.jpg,0.004745753,0.9511119,0.010751618,0.000338839,0.000835656,0.000847453,3.65E-05,0.031332247
0.342072,0.391474,0.0943287,0.812211,0.137018,0.820043,0.261169,0.00950998,0.517863,0.649846,0.559993,0.555517,0.0533179,0.606598,0.139255,0.174672,84,frame.00084.jpg,0.005757308,0.895672441,0.019140579,0.000793664,0.002518335,0.004797116,0.000216317,0.07110421
